year,sex,graduated,obs_flag,isced11_code,isced11_desc,iscedf13_code,iscedf13_desc,macro_area
2021,Female,232.0,,ED5,Short-cycle tertiary education,F04,"Business, administration and law",Soft Sciences
2022,Female,215.0,,ED5,Short-cycle tertiary education,F04,"Business, administration and law",Soft Sciences
2023,Female,362.0,,ED5,Short-cycle tertiary education,F04,"Business, administration and law",Soft Sciences
2013,Male,133.0,,ED5,Short-cycle tertiary education,F04,"Business, administration and law",Soft Sciences
2014,Male,70.0,,ED5,Short-cycle tertiary education,F04,"Business, administration and law",Soft Sciences
2015,Male,0.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,F04,"Business, administration and law",Soft Sciences
2016,Male,384.0,,ED5,Short-cycle tertiary education,F04,"Business, administration and law",Soft Sciences
2017,Male,176.0,,ED5,Short-cycle tertiary education,F04,"Business, administration and law",Soft Sciences
2018,Male,609.0,,ED5,Short-cycle tertiary education,F04,"Business, administration and law",Soft Sciences
2019,Male,256.0,,ED5,Short-cycle tertiary education,F04,"Business, administration and law",Soft Sciences
2020,Male,508.0,p: provisional,ED5,Short-cycle tertiary education,F04,"Business, administration and law",Soft Sciences
2021,Male,808.0,,ED5,Short-cycle tertiary education,F04,"Business, administration and law",Soft Sciences
2022,Male,708.0,,ED5,Short-cycle tertiary education,F04,"Business, administration and law",Soft Sciences
2023,Male,973.0,,ED5,Short-cycle tertiary education,F04,"Business, administration and law",Soft Sciences
2013,Female,0.0,,ED5,Short-cycle tertiary education,F05,"Natural sciences, mathematics and statistics",STEM
2014,Female,24.0,,ED5,Short-cycle tertiary education,F05,"Natural sciences, mathematics and statistics",STEM
2015,Female,0.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,F05,"Natural sciences, mathematics and statistics",STEM
2016,Female,37.0,,ED5,Short-cycle tertiary education,F05,"Natural sciences, mathematics and statistics",STEM
2017,Female,98.0,,ED5,Short-cycle tertiary education,F05,"Natural sciences, mathematics and statistics",STEM
2018,Female,86.0,,ED5,Short-cycle tertiary education,F05,"Natural sciences, mathematics and statistics",STEM
2019,Female,59.0,,ED5,Short-cycle tertiary education,F05,"Natural sciences, mathematics and statistics",STEM
2020,Female,79.0,p: provisional,ED5,Short-cycle tertiary education,F05,"Natural sciences, mathematics and statistics",STEM
2021,Female,130.0,,ED5,Short-cycle tertiary education,F05,"Natural sciences, mathematics and statistics",STEM
2022,Female,34.0,,ED5,Short-cycle tertiary education,F05,"Natural sciences, mathematics and statistics",STEM
2023,Female,41.0,,ED5,Short-cycle tertiary education,F05,"Natural sciences, mathematics and statistics",STEM
2013,Male,0.0,,ED5,Short-cycle tertiary education,F05,"Natural sciences, mathematics and statistics",STEM
2014,Male,16.0,,ED5,Short-cycle tertiary education,F05,"Natural sciences, mathematics and statistics",STEM
2015,Male,0.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,F05,"Natural sciences, mathematics and statistics",STEM
2016,Male,117.0,,ED5,Short-cycle tertiary education,F05,"Natural sciences, mathematics and statistics",STEM
2017,Male,128.0,,ED5,Short-cycle tertiary education,F05,"Natural sciences, mathematics and statistics",STEM
2018,Male,206.0,,ED5,Short-cycle tertiary education,F05,"Natural sciences, mathematics and statistics",STEM
2019,Male,163.0,,ED5,Short-cycle tertiary education,F05,"Natural sciences, mathematics and statistics",STEM
2020,Male,186.0,p: provisional,ED5,Short-cycle tertiary education,F05,"Natural sciences, mathematics and statistics",STEM
2021,Male,335.0,,ED5,Short-cycle tertiary education,F05,"Natural sciences, mathematics and statistics",STEM
2022,Male,122.0,,ED5,Short-cycle tertiary education,F05,"Natural sciences, mathematics and statistics",STEM
2023,Male,156.0,,ED5,Short-cycle tertiary education,F05,"Natural sciences, mathematics and statistics",STEM
2013,Female,17.0,,ED5,Short-cycle tertiary education,F06,Information and communication technologies,STEM
2014,Female,25.0,,ED5,Short-cycle tertiary education,F06,Information and communication technologies,STEM
2015,Female,0.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,F06,Information and communication technologies,STEM
2016,Female,11.0,,ED5,Short-cycle tertiary education,F06,Information and communication technologies,STEM
2017,Female,71.0,,ED5,Short-cycle tertiary education,F06,Information and communication technologies,STEM
2018,Female,70.0,,ED5,Short-cycle tertiary education,F06,Information and communication technologies,STEM
2019,Female,85.0,,ED5,Short-cycle tertiary education,F06,Information and communication technologies,STEM
2020,Female,129.0,p: provisional,ED5,Short-cycle tertiary education,F06,Information and communication technologies,STEM
2021,Female,145.0,,ED5,Short-cycle tertiary education,F06,Information and communication technologies,STEM
2022,Female,149.0,,ED5,Short-cycle tertiary education,F06,Information and communication technologies,STEM
2023,Female,168.0,,ED5,Short-cycle tertiary education,F06,Information and communication technologies,STEM
2013,Male,89.0,,ED5,Short-cycle tertiary education,F06,Information and communication technologies,STEM
2014,Male,102.0,,ED5,Short-cycle tertiary education,F06,Information and communication technologies,STEM
2015,Male,0.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,F06,Information and communication technologies,STEM
2016,Male,85.0,,ED5,Short-cycle tertiary education,F06,Information and communication technologies,STEM
2017,Male,204.0,,ED5,Short-cycle tertiary education,F06,Information and communication technologies,STEM
2018,Male,289.0,,ED5,Short-cycle tertiary education,F06,Information and communication technologies,STEM
2019,Male,370.0,,ED5,Short-cycle tertiary education,F06,Information and communication technologies,STEM
2020,Male,578.0,p: provisional,ED5,Short-cycle tertiary education,F06,Information and communication technologies,STEM
2021,Male,730.0,,ED5,Short-cycle tertiary education,F06,Information and communication technologies,STEM
2022,Male,745.0,,ED5,Short-cycle tertiary education,F06,Information and communication technologies,STEM
2023,Male,1135.0,,ED5,Short-cycle tertiary education,F06,Information and communication technologies,STEM
2013,Female,210.0,,ED5,Short-cycle tertiary education,F07,"Engineering, manufacturing and construction",STEM
2014,Female,149.0,,ED5,Short-cycle tertiary education,F07,"Engineering, manufacturing and construction",STEM
2015,Female,0.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,F07,"Engineering, manufacturing and construction",STEM
2016,Female,72.0,,ED5,Short-cycle tertiary education,F07,"Engineering, manufacturing and construction",STEM
2017,Female,123.0,,ED5,Short-cycle tertiary education,F07,"Engineering, manufacturing and construction",STEM
2018,Female,93.0,,ED5,Short-cycle tertiary education,F07,"Engineering, manufacturing and construction",STEM
2019,Female,78.0,,ED5,Short-cycle tertiary education,F07,"Engineering, manufacturing and construction",STEM
2020,Female,79.0,p: provisional,ED5,Short-cycle tertiary education,F07,"Engineering, manufacturing and construction",STEM
2021,Female,179.0,,ED5,Short-cycle tertiary education,F07,"Engineering, manufacturing and construction",STEM
2022,Female,339.0,,ED5,Short-cycle tertiary education,F07,"Engineering, manufacturing and construction",STEM
2023,Female,443.0,,ED5,Short-cycle tertiary education,F07,"Engineering, manufacturing and construction",STEM
2013,Male,504.0,,ED5,Short-cycle tertiary education,F07,"Engineering, manufacturing and construction",STEM
2014,Male,699.0,,ED5,Short-cycle tertiary education,F07,"Engineering, manufacturing and construction",STEM
2015,Male,0.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,F07,"Engineering, manufacturing and construction",STEM
2016,Male,736.0,,ED5,Short-cycle tertiary education,F07,"Engineering, manufacturing and construction",STEM
2017,Male,962.0,,ED5,Short-cycle tertiary education,F07,"Engineering, manufacturing and construction",STEM
2018,Male,943.0,,ED5,Short-cycle tertiary education,F07,"Engineering, manufacturing and construction",STEM
2019,Male,1035.0,,ED5,Short-cycle tertiary education,F07,"Engineering, manufacturing and construction",STEM
2020,Male,1376.0,p: provisional,ED5,Short-cycle tertiary education,F07,"Engineering, manufacturing and construction",STEM
2021,Male,1576.0,,ED5,Short-cycle tertiary education,F07,"Engineering, manufacturing and construction",STEM
2022,Male,2246.0,,ED5,Short-cycle tertiary education,F07,"Engineering, manufacturing and construction",STEM
2023,Male,2622.0,,ED5,Short-cycle tertiary education,F07,"Engineering, manufacturing and construction",STEM
2013,Female,7.0,,ED5,Short-cycle tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2014,Female,40.0,,ED5,Short-cycle tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2015,Female,0.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2016,Female,59.0,,ED5,Short-cycle tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2017,Female,100.0,,ED5,Short-cycle tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2018,Female,95.0,,ED5,Short-cycle tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2019,Female,101.0,,ED5,Short-cycle tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2020,Female,132.0,p: provisional,ED5,Short-cycle tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2021,Female,88.0,,ED5,Short-cycle tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2022,Female,239.0,,ED5,Short-cycle tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2023,Female,212.0,,ED5,Short-cycle tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2013,Male,57.0,,ED5,Short-cycle tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2014,Male,69.0,,ED5,Short-cycle tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2015,Male,0.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2016,Male,101.0,,ED5,Short-cycle tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2017,Male,238.0,,ED5,Short-cycle tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2018,Male,251.0,,ED5,Short-cycle tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2019,Male,242.0,,ED5,Short-cycle tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2020,Male,303.0,p: provisional,ED5,Short-cycle tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2021,Male,211.0,,ED5,Short-cycle tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2022,Male,525.0,,ED5,Short-cycle tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2023,Male,453.0,,ED5,Short-cycle tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2013,Female,0.0,,ED5,Short-cycle tertiary education,F09,Health and welfare,Life & Health Sciences
2014,Female,0.0,,ED5,Short-cycle tertiary education,F09,Health and welfare,Life & Health Sciences
2015,Female,0.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,F09,Health and welfare,Life & Health Sciences
2016,Female,0.0,,ED5,Short-cycle tertiary education,F09,Health and welfare,Life & Health Sciences
2017,Female,0.0,,ED5,Short-cycle tertiary education,F09,Health and welfare,Life & Health Sciences
2018,Female,0.0,,ED5,Short-cycle tertiary education,F09,Health and welfare,Life & Health Sciences
2019,Female,0.0,,ED5,Short-cycle tertiary education,F09,Health and welfare,Life & Health Sciences
2020,Female,0.0,p: provisional,ED5,Short-cycle tertiary education,F09,Health and welfare,Life & Health Sciences
2021,Female,0.0,,ED5,Short-cycle tertiary education,F09,Health and welfare,Life & Health Sciences
2022,Female,0.0,,ED5,Short-cycle tertiary education,F09,Health and welfare,Life & Health Sciences
2023,Female,0.0,,ED5,Short-cycle tertiary education,F09,Health and welfare,Life & Health Sciences
2013,Male,0.0,,ED5,Short-cycle tertiary education,F09,Health and welfare,Life & Health Sciences
2014,Male,0.0,,ED5,Short-cycle tertiary education,F09,Health and welfare,Life & Health Sciences
2015,Male,0.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,F09,Health and welfare,Life & Health Sciences
2016,Male,0.0,,ED5,Short-cycle tertiary education,F09,Health and welfare,Life & Health Sciences
2017,Male,0.0,,ED5,Short-cycle tertiary education,F09,Health and welfare,Life & Health Sciences
2018,Male,0.0,,ED5,Short-cycle tertiary education,F09,Health and welfare,Life & Health Sciences
2019,Male,0.0,,ED5,Short-cycle tertiary education,F09,Health and welfare,Life & Health Sciences
2020,Male,0.0,p: provisional,ED5,Short-cycle tertiary education,F09,Health and welfare,Life & Health Sciences
2021,Male,0.0,,ED5,Short-cycle tertiary education,F09,Health and welfare,Life & Health Sciences
2022,Male,0.0,,ED5,Short-cycle tertiary education,F09,Health and welfare,Life & Health Sciences
2023,Male,0.0,,ED5,Short-cycle tertiary education,F09,Health and welfare,Life & Health Sciences
2013,Female,0.0,,ED5,Short-cycle tertiary education,F10,Services,Cross-disciplinary
2014,Female,0.0,,ED5,Short-cycle tertiary education,F10,Services,Cross-disciplinary
2015,Female,0.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,F10,Services,Cross-disciplinary
2016,Female,0.0,,ED5,Short-cycle tertiary education,F10,Services,Cross-disciplinary
2017,Female,116.0,,ED5,Short-cycle tertiary education,F10,Services,Cross-disciplinary
2018,Female,179.0,,ED5,Short-cycle tertiary education,F10,Services,Cross-disciplinary
2019,Female,246.0,,ED5,Short-cycle tertiary education,F10,Services,Cross-disciplinary
2020,Female,374.0,p: provisional,ED5,Short-cycle tertiary education,F10,Services,Cross-disciplinary
2021,Female,487.0,,ED5,Short-cycle tertiary education,F10,Services,Cross-disciplinary
2022,Female,446.0,,ED5,Short-cycle tertiary education,F10,Services,Cross-disciplinary
2023,Female,508.0,,ED5,Short-cycle tertiary education,F10,Services,Cross-disciplinary
2013,Male,0.0,,ED5,Short-cycle tertiary education,F10,Services,Cross-disciplinary
2014,Male,0.0,,ED5,Short-cycle tertiary education,F10,Services,Cross-disciplinary
2015,Male,0.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,F10,Services,Cross-disciplinary
2016,Male,0.0,,ED5,Short-cycle tertiary education,F10,Services,Cross-disciplinary
2017,Male,102.0,,ED5,Short-cycle tertiary education,F10,Services,Cross-disciplinary
2018,Male,138.0,,ED5,Short-cycle tertiary education,F10,Services,Cross-disciplinary
2019,Male,285.0,,ED5,Short-cycle tertiary education,F10,Services,Cross-disciplinary
2020,Male,389.0,p: provisional,ED5,Short-cycle tertiary education,F10,Services,Cross-disciplinary
2021,Male,661.0,,ED5,Short-cycle tertiary education,F10,Services,Cross-disciplinary
2022,Male,481.0,,ED5,Short-cycle tertiary education,F10,Services,Cross-disciplinary
2023,Male,653.0,,ED5,Short-cycle tertiary education,F10,Services,Cross-disciplinary
2015,Female,412.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,UNK,Unknown,Unknown
2016,Female,0.0,,ED5,Short-cycle tertiary education,UNK,Unknown,Unknown
2017,Female,74.0,,ED5,Short-cycle tertiary education,UNK,Unknown,Unknown
2018,Female,0.0,,ED5,Short-cycle tertiary education,UNK,Unknown,Unknown
2019,Female,190.0,,ED5,Short-cycle tertiary education,UNK,Unknown,Unknown
2020,Female,305.0,p: provisional,ED5,Short-cycle tertiary education,UNK,Unknown,Unknown
2021,Female,97.0,,ED5,Short-cycle tertiary education,UNK,Unknown,Unknown
2022,Female,0.0,,ED5,Short-cycle tertiary education,UNK,Unknown,Unknown
2023,Female,0.0,,ED5,Short-cycle tertiary education,UNK,Unknown,Unknown
2015,Male,1353.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,UNK,Unknown,Unknown
2016,Male,0.0,,ED5,Short-cycle tertiary education,UNK,Unknown,Unknown
2017,Male,81.0,,ED5,Short-cycle tertiary education,UNK,Unknown,Unknown
2018,Male,0.0,,ED5,Short-cycle tertiary education,UNK,Unknown,Unknown
2019,Male,328.0,,ED5,Short-cycle tertiary education,UNK,Unknown,Unknown
2020,Male,428.0,p: provisional,ED5,Short-cycle tertiary education,UNK,Unknown,Unknown
2021,Male,44.0,,ED5,Short-cycle tertiary education,UNK,Unknown,Unknown
2022,Male,0.0,,ED5,Short-cycle tertiary education,UNK,Unknown,Unknown
2023,Male,0.0,,ED5,Short-cycle tertiary education,UNK,Unknown,Unknown
2015,Female,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2016,Female,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2017,Female,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2018,Female,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2019,Female,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2020,Female,0.0,p: provisional,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2021,Female,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2022,Female,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2023,Female,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2015,Male,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2016,Male,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2017,Male,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2018,Male,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2019,Male,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2020,Male,0.0,p: provisional,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2021,Male,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2022,Male,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2023,Male,0.0,,ED6,Bachelor's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2013,Female,11466.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2014,Female,13321.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2015,Female,7974.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2016,Female,7805.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
