year,sex,enrolled,obs_flag,isced11_code,isced11_desc,iscedf13_code,iscedf13_desc,macro_area
2014,Male,18809.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2015,Male,17851.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2016,Male,19133.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2017,Male,20125.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2018,Male,21564.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2019,Male,23200.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2020,Male,24895.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2021,Male,27592.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2022,Male,28446.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2023,Male,28846.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2013,Female,2522.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2014,Female,2308.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2015,Female,2316.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2016,Female,2150.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2017,Female,1961.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2018,Female,2011.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2019,Female,1778.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2020,Female,1818.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2021,Female,1919.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2022,Female,2131.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2023,Female,2438.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2013,Male,1771.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2014,Male,1620.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2015,Male,1613.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2016,Male,1497.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2017,Male,1386.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2018,Male,1412.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2019,Male,1358.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
2020,Male,1396.0,,ED8,Doctoral or equivalent level,F02,Arts and humanities,Humanities
